epoch,loss,lr,train_accuracy,train_balanced_accuracy,valid_accuracy,valid_balanced_accuracy
0,0.0900694374897964,0.02,0.9886513437194182,0.9421180171616169,0.9881516961036096,0.9475043375422562
1,0.08642696247467875,0.02,0.9894837827570451,0.9444200677019426,0.9884431769840394,0.9402138092808529
2,0.08671773746743448,0.02,0.9901963015547616,0.9521911016181628,0.9893885203800281,0.9486109173348036
3,0.08493640631624569,0.02,0.9890513696291926,0.95018877084947,0.9877184137137816,0.9493483517983488
4,0.08375554970554216,0.02,0.99017616895974,0.9460765390913549,0.9886164899399708,0.9406030817198475
5,0.0826459812130813,0.02,0.9904457706669841,0.9491893052556131,0.9888291922040682,0.920669740699234
6,0.08281640807430875,0.02,0.9901026412214008,0.9438000006755873,0.9882777418897415,0.9232325018271519
7,0.08256595498168283,0.02,0.9906812344957135,0.9590719312985676,0.9887110242795696,0.9434647226329486
8,0.08188253736768845,0.02,0.9908589265300335,0.950772064161266,0.9887740471726354,0.9390163578735617
9,0.08122322241536588,0.02,0.9909342049288095,0.9358525835294675,0.9884904441538389,0.9041432445438582
10,0.0811726527833639,0.02,0.9902899618881222,0.9427765330013463,0.9878287037766469,0.9157427460902942
11,0.08189572668776478,0.02,0.991453275748276,0.9535388148617006,0.9890182608832658,0.9332169912573713
12,0.0813663383373987,0.02,0.9907004917605167,0.9416638446468677,0.9880098945942113,0.91962911980213
13,0.08069163296686034,0.02,0.9904860358570271,0.941541026108641,0.9877184137137816,0.9070668728683846
